,restaurant_name,place_id,price_level,restaurant_rating,google_maps_url,address,restaurant_website
93,China House,ChIJhyVcVBOcw4kRdHWIiajjGHw,2.0,4.3,https://maps.google.com/?cid=8942147373145552244,"286 US-206 #107b, Flanders, NJ 07836, USA",https://chinahouseflandersvillage.com/
94,McDonald's,ChIJWd-JXxOcw4kRqtxMd1h-oLI,1.0,3.7,https://maps.google.com/?cid=12871426653448625322,"293 Rt 206, Flanders, NJ 07836, USA",https://www.mcdonalds.com/us/en-us/location/NJ/FLANDERS/293-RT-206/7843.html?cid=RF:YXT:GMB::Clicks
95,Subway,ChIJjU--nhScw4kRssNtw-ZMf4w,1.0,3.4,https://maps.google.com/?cid=10123895041357104050,"293 Rt 206 S, Flanders, NJ 07836, USA",https://order.subway.com/en-us/restaurant/23744/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=23744&utm_campaign=evergreen-2020&y_source=1_MTQ5MDMzNDItNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl
96,Wendy's,ChIJCUO01dGbw4kRe1ZhXbq-1Ec,1.0,4.1,https://maps.google.com/?cid=5175971579395397243,"35 U.S. Hwy 206 S, Chester, NJ 07930, USA",https://locations.wendys.com/united-states/nj/chester/35-u.s.-hwy-206-s.?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US
97,Giuseppe's Trattoria,ChIJTd_tHtKbw4kRtgKp7b4ss3E,,4.2,https://maps.google.com/?cid=8192941345659749046,"191 US-206, Chester, NJ 07930, USA",https://www.giuseppestrattoria.com/
98,Valley Restaurant,ChIJfcniM9aaw4kReh5giC90SQw,1.0,4.5,https://maps.google.com/?cid=885366549255298682,"59 E Mill Rd #208, Long Valley, NJ 07853, USA",http://www.valleyrestaurantandpub.com/
99,Pezzo Pizza 2,ChIJc1Ro1Neaw4kR53VJH3x3vGc,1.0,4.5,https://maps.google.com/?cid=7474980856512738791,"62 E Mill Rd, Long Valley, NJ 07853, USA",https://www.facebook.com/Pezzopizza62
100,New York Pizza and Italian Restaurant,ChIJpc7jmtqbw4kRrbRRNUF_U2A,2.0,4.6,https://maps.google.com/?cid=6941031368752215213,"57 Main St # 2, Chester, NJ 07930, USA",http://nypizzachesternj.com/
101,Fresco Mexican,ChIJK-D0ONqbw4kRTMBoGG67i1k,2.0,4.4,https://maps.google.com/?cid=6452456972668682316,"137 Main St, Chester, NJ 07930, USA",http://www.frescomexican.com/
102,Asian Gourmet,ChIJK0qQ8teaw4kR4s7gKASsEIs,,4.0,https://maps.google.com/?cid=10020698304765021922,"67 E Mill Rd, Long Valley, NJ 07853, USA",http://www.asiangourmetlongvalley.com/
103,Valentino's Pizzeria & Restaurant,ChIJWd-JXxOcw4kRGw2eSNE5EuA,1.0,4.2,https://maps.google.com/?cid=16146031185105915163,"293 US-206 #8, Flanders, NJ 07836, USA",http://www.valentinosflanders.com/
104,Dunkin',ChIJT-BJxdeaw4kRwNbi0aYn08k,1.0,4.6,https://maps.google.com/?cid=14543011219148822208,"62 E Mill Rd, Long Valley, NJ 07853, USA",https://smart.link/abu8tr12sc1y6?utm_source=google&utm_medium=local&utm_campaign=gmbwebsiteorder&utm_content=342284
105,Domo 7 Japanese Restaurant,ChIJBRzzHtKbw4kR-j21IT2J3zU,,4.3,https://maps.google.com/?cid=3881972299468193274,"189 US-206, Chester, NJ 07930, USA",http://www.domo-7.com/
106,Sub Pub,ChIJ70jmZtCbw4kRZWRS4RV1sOM,1.0,4.6,https://maps.google.com/?cid=16406742179345753189,"127 Main St, Chester, NJ 07930, USA",http://subpubnj.com/
107,QuickChek,ChIJXy8l7ZObw4kR5wHGDRF71pc,,3.6,https://maps.google.com/?cid=10941067657918939623,"150 US-206, Chester Township, NJ 07930, USA",http://quickchek.com/
108,Ho Ho Kitchen,ChIJPZ9LIdCbw4kRChiQ3TlPWdY,,4.3,https://maps.google.com/?cid=15445463506992764938,"44 Maple Ave, Chester, NJ 07930, USA",http://hohokitchenchester.com/
109,Hot Bagels abroad,ChIJjcPlLT-cw4kRq0qH9GQW5Yw,1.0,4.0,https://maps.google.com/?cid=10152545557831699115,"240 US-206, Flanders, NJ 07836, USA",https://hot-bagels-abroad-bagel-shop.business.site/?utm_source=gmb&utm_medium=referral
110,Bella's,ChIJg0VNctCbw4kRWDCT7ahRan4,1.0,4.4,https://maps.google.com/?cid=9109182982292451416,"30 Main St, Chester, NJ 07930, USA",http://www.bellaspizzanj.com/
111,Pren Kitchen,ChIJ6-RP2Qibw4kRcxRFf6563HE,,4.7,https://maps.google.com/?cid=8204567511040332915,"52 W Main St, Chester, NJ 07930, USA",http://prenkitchen.com/
112,Chester,ChIJJ9M8tGebw4kRysQ_vqnDi74,,,https://maps.google.com/?cid=13730283022777828554,"17 Main St, Chester, NJ 07930, USA",
113,Panera Bread,ChIJR5iiD6Wbw4kRxTQ78DfDZtA,2.0,3.9,https://maps.google.com/?cid=15016904652534527173,"141 US Highway 206 S, Chester, NJ 07930, USA",https://locations.panerabread.com/nj/chester/141-us-highway-206-s.html?utm_medium=display-ad&utm_source=paid-digital&utm_campaign=yext&utm_content=local-search
114,Playa Bowls,ChIJ1X7Sozybw4kRnHKM4lijZbM,2.0,4.6,https://maps.google.com/?cid=12926917907590181532,"230 Rt 206 N, Chester, NJ 07930, USA",https://www.playabowls.com/
